Course,Category,Price,Rating,Duration,Marketing_Spend,Students_Enrolled,Revenue
Google Cloud,Cloud,6706,4.9,49,8013,423,2836638
Data Analytics,Data Science,6828,4.1,71,18843,642,4383576
Docker & Kubernetes,Cloud,3698,4.2,35,5839,284,1050232
Azure Fundamentals,Cloud,7647,4.4,59,15418,550,4205850
JavaScript Essentials,Programming,4162,4.0,33,14626,504,2097648
Angular,Web Development,3790,4.9,64,12052,598,2266420
Go Basics,Programming,3065,3.9,66,16317,594,1820610
Network Security,Cyber Security,7157,4.4,65,19083,667,4773719
SEO,Digital Marketing,2262,4.2,45,10972,453,1024686
Oracle DB,Database,4523,4.4,53,14264,555,2510265
Oracle DB,Database,4209,4.2,49,11877,459,1931931
React,Web Development,2488,4.7,40,6917,426,1059888
Network Security,Cyber Security,3069,4.1,50,12060,495,1519155
Pen Testing,Cyber Security,6388,4.1,26,9360,310,1980280
Deep Learning,Data Science,2969,4.2,65,7147,386,1146034
Python Programming,Programming,6033,4.2,80,7137,401,2419233
Google Ads,Digital Marketing,2340,4.8,56,12317,590,1380600
DevOps,Cloud,4291,4.0,23,11273,408,1750728
Google Ads,Digital Marketing,2434,4.8,45,19113,711,1730574
Ethical Hacking,Cyber Security,2742,4.0,56,12956,480,1316160
Data Science,Data Science,6071,4.7,58,10395,506,3071926
SOC Analyst,Cyber Security,5190,4.9,39,17051,640,3321600
Pen Testing,Cyber Security,1993,4.5,67,6251,459,914787
Content Marketing,Digital Marketing,6624,4.1,62,5660,278,1841472
Machine Learning,Data Science,6021,3.9,20,16386,464,2793744
Oracle DB,Database,5349,4.1,34,12440,443,2369607
Django,Web Development,2083,4.6,79,11668,619,1289377
Email Marketing,Digital Marketing,6916,4.8,32,16930,577,3990532
Network Security,Cyber Security,6805,4.0,37,7660,258,1755690
Java Programming,Programming,7993,4.2,67,12457,471,3764703
JavaScript Essentials,Programming,7141,4.2,45,11920,428,3056348
SOC Analyst,Cyber Security,5086,3.9,22,17156,518,2634548
Flask,Web Development,3551,3.8,34,3679,213,756363
MongoDB,Database,6220,3.8,68,8740,356,2214320
SOC Analyst,Cyber Security,3778,4.0,57,17283,612,2312136
Google Ads,Digital Marketing,2247,4.4,46,13921,553,1242591
SQL Basics,Database,2817,4.2,64,19235,689,1940913
PostgreSQL,Database,7730,4.5,49,5885,302,2334460
Angular,Web Development,2449,5.0,45,19862,801,1961649
Go Basics,Programming,5284,4.3,32,19988,630,3328920
SOC Analyst,Cyber Security,6623,4.3,23,9670,331,2192213
Network Security,Cyber Security,3859,4.3,64,18883,668,2577812
Go Basics,Programming,3460,4.7,39,3448,313,1082980
AWS Cloud,Cloud,3340,5.0,78,6717,505,1686700
Java Programming,Programming,5582,4.9,38,19674,725,4046950
Django,Web Development,5452,5.0,35,17967,680,3707360
AI Fundamentals,Data Science,3061,4.9,52,7473,489,1496829
C++ Programming,Programming,7829,4.7,46,14137,564,4415556
Email Marketing,Digital Marketing,3688,4.8,38,12783,572,2109536
Pen Testing,Cyber Security,6906,4.4,29,17632,568,3922608
Google Cloud,Cloud,4223,4.5,54,15360,602,2542246
React,Web Development,7213,4.1,44,10653,404,2914052
Google Ads,Digital Marketing,1857,4.2,50,15492,586,1088202
Advanced SQL,Database,5557,5.0,28,19459,704,3912128
HTML & CSS,Web Development,5106,3.9,78,17972,603,3078918
Advanced SQL,Database,4858,4.8,29,5451,333,1617714
Social Media Marketing,Digital Marketing,4273,4.5,45,5631,365,1559645
Flask,Web Development,4613,4.9,60,18989,774,3570462
Ethical Hacking,Cyber Security,6558,3.9,60,12416,424,2780592
SQL Basics,Database,5055,5.0,68,6293,452,2284860
Deep Learning,Data Science,1737,3.9,70,4838,319,554103
Angular,Web Development,5028,4.0,53,16502,565,2840820
Advanced SQL,Database,2892,4.0,59,15535,583,1686036
Advanced SQL,Database,5576,4.9,29,10608,464,2587264
MongoDB,Database,5264,4.1,20,18245,573,3016272
Flask,Web Development,2794,3.9,80,14323,582,1626108
Django,Web Development,7155,4.1,74,12899,479,3427245
DevOps,Cloud,2373,4.1,56,14762,573,1359729
Angular,Web Development,1679,5.0,62,15969,713,1197127
Go Basics,Programming,7118,4.7,23,19276,649,4619582
React,Web Development,6473,4.8,34,9230,426,2757498
React,Web Development,6646,3.9,60,4291,225,1495350
Google Ads,Digital Marketing,1773,4.5,66,7306,431,764163
Angular,Web Development,7623,4.3,32,7330,311,2370753
Cyber Security,Cyber Security,5848,4.4,37,8391,348,2035104
Google Ads,Digital Marketing,3917,4.7,41,6773,389,1523713
Java Programming,Programming,7678,5.0,75,16022,702,5389956
Email Marketing,Digital Marketing,4496,3.9,45,3456,198,890208
Ethical Hacking,Cyber Security,5225,4.2,67,11590,493,2575925
Google Cloud,Cloud,2387,4.6,50,3820,350,835450
Cyber Security,Cyber Security,6497,4.1,24,18213,566,3677302
MongoDB,Database,6818,4.3,28,4485,252,1718136
C++ Programming,Programming,5535,3.9,35,7445,272,1505520
Google Cloud,Cloud,6992,4.9,64,16733,677,4733584
Advanced SQL,Database,4898,4.6,73,19034,745,3649010
Google Cloud,Cloud,1768,4.6,33,17528,656,1159808
Deep Learning,Data Science,2313,5.0,43,14753,622,1438686
Google Cloud,Cloud,3054,5.0,80,17900,768,2345472
Advanced SQL,Database,6756,4.6,21,4657,269,1817364
React,Web Development,2531,4.7,33,5248,376,951656
Email Marketing,Digital Marketing,3197,4.5,72,10634,524,1675228
Content Marketing,Digital Marketing,7960,4.9,20,12085,478,3804880
Machine Learning,Data Science,5925,4.1,31,6602,280,1659000
SEO,Digital Marketing,2579,3.8,70,10796,464,1196656
HTML & CSS,Web Development,2927,4.1,28,16794,558,1633266
Python Programming,Programming,5401,4.3,43,19817,660,3564660
JavaScript Essentials,Programming,5627,4.1,59,4420,290,1631830
Email Marketing,Digital Marketing,3970,4.3,21,4993,257,1020290
Google Ads,Digital Marketing,4992,4.6,51,17534,627,3129984
C++ Programming,Programming,6483,4.0,28,12011,388,2515404
Oracle DB,Database,5992,4.7,44,12663,516,3091872
Pen Testing,Cyber Security,5024,3.9,64,6749,349,1753376
Oracle DB,Database,7405,4.8,47,17796,672,4976160
AI Fundamentals,Data Science,4276,4.8,45,16631,668,2856368
C++ Programming,Programming,4996,4.2,36,15265,498,2488008
PostgreSQL,Database,2049,3.9,25,6054,264,540936
C++ Programming,Programming,2565,4.5,57,13801,602,1544130
JavaScript Essentials,Programming,4396,4.8,80,16858,751,3301396
SQL Basics,Database,3856,4.5,42,6394,365,1407440
Network Security,Cyber Security,2767,4.6,34,6546,365,1009955
Email Marketing,Digital Marketing,4511,3.9,37,10410,390,1759290
Docker & Kubernetes,Cloud,7786,4.8,59,3860,325,2530450
MongoDB,Database,1737,4.0,64,13124,566,983142
Angular,Web Development,1550,4.0,29,16132,519,804450
Data Science,Data Science,2251,4.7,33,15327,605,1361855
Google Cloud,Cloud,2789,4.2,66,13629,584,1628776
Pen Testing,Cyber Security,2195,4.9,29,8158,464,1018480
Ethical Hacking,Cyber Security,7021,3.9,48,16894,523,3671983
SOC Analyst,Cyber Security,4892,4.1,68,19788,662,3238504
Django,Web Development,2408,4.1,63,18945,688,1656704
MongoDB,Database,1872,4.1,58,4795,298,557856
Deep Learning,Data Science,3230,4.7,68,11372,555,1792650
HTML & CSS,Web Development,1563,4.4,47,8757,423,661149
Docker & Kubernetes,Cloud,7264,4.1,55,14605,474,3443136
AWS Cloud,Cloud,5073,3.8,78,5551,336,1704528
Flask,Web Development,5016,4.5,65,16686,636,3190176
JavaScript Essentials,Programming,1670,5.0,30,18076,738,1232460
MongoDB,Database,2221,4.3,26,10972,435,966135
SOC Analyst,Cyber Security,5792,3.9,75,13167,515,2982880
React,Web Development,4228,4.7,24,19727,686,2900408
Go Basics,Programming,5677,4.0,69,14448,524,2974748
Advanced SQL,Database,3435,3.9,36,9464,338,1161030
Network Security,Cyber Security,7727,4.7,24,8804,389,3005803
Google Ads,Digital Marketing,5300,4.7,68,17709,713,3778900
Pen Testing,Cyber Security,4147,4.8,60,13359,581,2409407
AWS Cloud,Cloud,5341,4.3,39,12000,458,2446178
C++ Programming,Programming,5656,3.9,49,17808,536,3031616
C++ Programming,Programming,3851,3.9,75,5958,351,1351701
Pen Testing,Cyber Security,4649,4.4,55,4344,310,1441190
Email Marketing,Digital Marketing,6839,4.0,58,18585,601,4110239
Data Science,Data Science,5190,3.9,77,14253,552,2864880
Go Basics,Programming,6793,4.0,35,17344,520,3532360
Pen Testing,Cyber Security,6495,4.0,43,12269,409,2656455
Google Cloud,Cloud,7061,4.5,70,13965,538,3798818
HTML & CSS,Web Development,6070,4.6,38,11257,473,2871110
Email Marketing,Digital Marketing,2731,4.2,57,7634,426,1163406
Angular,Web Development,6874,4.6,45,7225,368,2529632
SQL Basics,Database,4036,4.5,61,13763,601,2425636
Data Analytics,Data Science,2265,4.6,47,19662,726,1644390
C++ Programming,Programming,4030,4.0,33,14197,504,2031120
Google Ads,Digital Marketing,3072,4.1,28,8077,309,949248
HTML & CSS,Web Development,5658,4.7,73,4236,381,2155698
Flask,Web Development,2573,4.5,29,8316,378,972594
Email Marketing,Digital Marketing,2856,4.7,22,16463,600,1713600
Advanced SQL,Database,5138,4.5,68,17710,662,3401356
Network Security,Cyber Security,4035,5.0,70,18368,799,3223965
Content Marketing,Digital Marketing,4513,4.6,56,17437,666,3005658
Social Media Marketing,Digital Marketing,7874,4.3,53,16718,545,4291330
Content Marketing,Digital Marketing,6453,4.0,36,4709,224,1445472
Google Cloud,Cloud,6042,4.9,65,19905,788,4761096
C++ Programming,Programming,2187,4.7,37,17723,704,1539648
Network Security,Cyber Security,5083,3.9,78,10275,463,2353429
Google Cloud,Cloud,1718,4.3,45,19449,687,1180266
AI Fundamentals,Data Science,2168,4.2,21,13442,507,1099176
C++ Programming,Programming,7982,4.0,22,12400,386,3081052
Google Ads,Digital Marketing,7202,4.8,68,18371,703,5063006
Ethical Hacking,Cyber Security,2149,3.8,33,7899,321,689829
Oracle DB,Database,5823,4.3,69,12440,501,2917323
HTML & CSS,Web Development,1891,4.1,60,17978,635,1200785
JavaScript Essentials,Programming,6388,4.4,60,19887,695,4439660
Machine Learning,Data Science,3886,4.3,59,14561,558,2168388
SOC Analyst,Cyber Security,3034,4.6,25,14816,532,1614088
Pen Testing,Cyber Security,5656,4.7,52,3666,306,1730736
Google Ads,Digital Marketing,1856,4.6,43,11311,538,998528
C++ Programming,Programming,7959,3.9,35,6396,241,1918119
Cyber Security,Cyber Security,2592,3.9,54,14093,541,1402272
Advanced SQL,Database,7882,4.6,64,18680,682,5375524
Machine Learning,Data Science,2016,4.7,80,17997,744,1499904
React,Web Development,1858,4.7,76,4373,416,772928
Flask,Web Development,4762,5.0,54,18512,721,3433402
Java Programming,Programming,3843,4.2,69,4566,357,1371951
MongoDB,Database,3738,3.9,43,17318,590,2205420
DevOps,Cloud,4667,4.2,31,19259,627,2926209
Google Cloud,Cloud,5753,4.1,25,16910,491,2824723
Docker & Kubernetes,Cloud,2978,4.5,40,6361,340,1012520
Angular,Web Development,4010,4.3,65,16962,623,2498230
PostgreSQL,Database,4379,4.3,66,14552,590,2583610
Google Cloud,Cloud,6738,5.0,80,4879,395,2661510
PostgreSQL,Database,4476,4.4,67,8242,466,2085816
Java Programming,Programming,6477,4.6,48,4140,272,1761744
Java Programming,Programming,7877,4.6,43,15545,582,4584414
Ethical Hacking,Cyber Security,6456,4.0,48,15155,491,3169896
AWS Cloud,Cloud,6201,4.0,43,16042,503,3119103
MongoDB,Database,3544,5.0,21,9096,450,1594800
SOC Analyst,Cyber Security,6101,3.9,69,11529,456,2782056
Azure Fundamentals,Cloud,6512,4.1,78,19095,649,4226288
Java Programming,Programming,2106,4.3,77,17585,682,1436292
Social Media Marketing,Digital Marketing,6970,4.2,24,12514,428,2983160
React,Web Development,7331,4.7,64,8704,461,3379591
Flask,Web Development,3336,3.9,32,7550,288,960768
Google Ads,Digital Marketing,1715,4.2,56,15088,594,1018710
Email Marketing,Digital Marketing,2563,4.5,25,5154,299,766337
DevOps,Cloud,5806,4.3,46,5416,272,1579232
HTML & CSS,Web Development,5186,4.4,53,14289,528,2738208
Email Marketing,Digital Marketing,6741,4.5,69,7228,395,2662695
Ethical Hacking,Cyber Security,2517,4.4,39,8395,388,976596
React,Web Development,4334,4.9,53,12307,595,2578730
C++ Programming,Programming,3108,4.6,55,11993,524,1628592
MongoDB,Database,6533,4.4,52,8525,394,2574002
Network Security,Cyber Security,2902,4.6,66,14063,646,1874692
Ethical Hacking,Cyber Security,1732,3.9,80,11672,533,923156
Data Analytics,Data Science,4912,4.5,21,19319,653,3207536
Oracle DB,Database,3872,4.6,39,18825,661,2559392
Google Ads,Digital Marketing,3936,4.3,64,4963,322,1267392
DevOps,Cloud,5466,4.4,41,7707,348,1902168
Social Media Marketing,Digital Marketing,7514,5.0,42,16065,593,4455802
Social Media Marketing,Digital Marketing,5718,4.5,40,10921,444,2538792
C++ Programming,Programming,5183,4.1,26,4658,207,1072881
Docker & Kubernetes,Cloud,4925,4.1,75,8233,432,2127600
Flask,Web Development,7407,4.2,68,8221,377,2792439
SOC Analyst,Cyber Security,5585,4.9,51,3759,313,1748105
Docker & Kubernetes,Cloud,5245,5.0,33,14563,561,2942445
C++ Programming,Programming,5554,4.5,73,18420,689,3826706
Ethical Hacking,Cyber Security,2380,4.3,76,11666,569,1354220
Django,Web Development,4497,3.9,23,9378,309,1389573
Cyber Security,Cyber Security,2102,4.3,48,12165,535,1124570
Pen Testing,Cyber Security,2473,4.0,26,15907,515,1273595
Social Media Marketing,Digital Marketing,6069,4.9,68,7727,447,2712843
Pen Testing,Cyber Security,4788,4.4,22,4275,221,1058148
MongoDB,Database,5380,4.4,29,19892,618,3324840
Flask,Web Development,4109,4.0,59,12805,497,2042173
Flask,Web Development,5675,4.4,65,12823,531,3013425
SEO,Digital Marketing,4517,4.2,27,16649,548,2475316
HTML & CSS,Web Development,6389,4.4,61,10456,471,3009219
Go Basics,Programming,5435,4.0,60,15458,521,2831635
Content Marketing,Digital Marketing,1758,4.5,64,6601,417,733086
JavaScript Essentials,Programming,4069,4.3,46,9681,419,1704911
Pen Testing,Cyber Security,5363,4.8,67,5040,407,2182741
Data Analytics,Data Science,3198,4.5,62,18675,717,2292966
Google Cloud,Cloud,2918,4.4,54,14217,582,1698276
Angular,Web Development,6497,4.4,35,12142,449,2917153
React,Web Development,3938,4.7,65,9792,527,2075326
PostgreSQL,Database,4097,4.4,55,11960,497,2036209
Go Basics,Programming,7042,4.5,77,15928,650,4577300
React,Web Development,3879,3.9,65,5589,305,1183095
Google Cloud,Cloud,7622,4.4,32,11884,446,3399412
Cyber Security,Cyber Security,2624,3.9,67,10840,449,1178176
Go Basics,Programming,3348,4.6,23,6283,333,1114884
Django,Web Development,2323,4.6,28,3169,287,666701
AI Fundamentals,Data Science,6848,4.9,76,18587,743,5088064
Advanced SQL,Database,7692,5.0,40,12352,527,4053684
Python Programming,Programming,6843,4.5,54,4222,320,2189760
AI Fundamentals,Data Science,2940,4.9,22,16008,639,1878660
Azure Fundamentals,Cloud,7635,5.0,79,12485,624,4764240
Python Programming,Programming,3944,4.5,26,13978,504,1987776
Docker & Kubernetes,Cloud,5795,4.4,80,7397,448,2596160
SOC Analyst,Cyber Security,3735,4.0,27,13835,437,1632195
PostgreSQL,Database,6810,4.1,31,3461,196,1334760
Angular,Web Development,6151,4.6,32,8750,390,2398890
Google Ads,Digital Marketing,5003,4.4,25,16134,554,2771662
Java Programming,Programming,2651,4.4,79,11128,525,1391775
Django,Web Development,3429,4.3,37,13801,505,1731645
Pen Testing,Cyber Security,1593,4.1,43,10743,423,673839
SQL Basics,Database,5312,4.2,45,19466,667,3543104
MongoDB,Database,7154,3.9,78,12667,468,3348072
Network Security,Cyber Security,3295,4.9,50,8019,470,1548650
Oracle DB,Database,4560,4.3,55,18428,671,3059760
Network Security,Cyber Security,7741,4.1,68,5682,300,2322300
Docker & Kubernetes,Cloud,7265,4.2,78,6676,333,2419245
Email Marketing,Digital Marketing,5640,4.0,54,7910,319,1799160
Flask,Web Development,5119,3.9,33,19017,544,2784736
SOC Analyst,Cyber Security,1955,4.3,52,16612,633,1237515
Ethical Hacking,Cyber Security,6077,4.4,71,13098,561,3409197
JavaScript Essentials,Programming,3584,4.8,67,10140,549,1967616
Python Programming,Programming,4970,4.2,24,4974,267,1326990
JavaScript Essentials,Programming,1759,4.1,31,7437,360,633240
PostgreSQL,Database,4567,5.0,44,17697,722,3297374
DevOps,Cloud,2157,4.6,62,7357,467,1007319
Social Media Marketing,Digital Marketing,2471,4.0,54,15879,581,1435651
Machine Learning,Data Science,1528,4.7,39,18171,714,1090992
Oracle DB,Database,4974,4.4,72,10525,481,2392494
Google Cloud,Cloud,2770,4.1,79,6697,378,1047060
Google Ads,Digital Marketing,6537,4.7,76,3512,331,2163747
Data Science,Data Science,2326,4.5,48,4595,330,767580
SQL Basics,Database,4795,4.3,54,10119,459,2200905
SEO,Digital Marketing,2647,4.4,38,10673,483,1278501
Oracle DB,Database,4112,4.5,69,13507,573,2356176
React,Web Development,6908,4.4,46,12846,465,3212220
Go Basics,Programming,6346,4.9,78,8738,517,3280882
PostgreSQL,Database,6053,4.4,42,15489,567,3432051
Cyber Security,Cyber Security,7204,4.3,29,12826,422,3040088
Data Analytics,Data Science,5379,4.1,34,12854,462,2485098
Advanced SQL,Database,5293,4.9,55,16522,664,3514552
Pen Testing,Cyber Security,2598,4.3,36,9662,412,1070376
SQL Basics,Database,5184,4.8,25,9241,389,2016576
Django,Web Development,7018,4.5,22,5384,236,1656248
Email Marketing,Digital Marketing,7433,4.6,33,18708,599,4452367
Social Media Marketing,Digital Marketing,3983,4.9,20,9940,479,1907857
Data Science,Data Science,7618,5.0,50,10949,516,3930888
Network Security,Cyber Security,4749,4.9,55,13538,620,2944380
Django,Web Development,5319,4.4,42,13106,483,2569077
Flask,Web Development,5573,4.4,71,18384,701,3906673
Social Media Marketing,Digital Marketing,3164,4.2,46,4498,298,942872
Content Marketing,Digital Marketing,7572,4.0,36,16683,486,3679992
Machine Learning,Data Science,4202,4.1,56,11052,452,1899304
Cyber Security,Cyber Security,3608,4.7,51,19075,720,2597760
Deep Learning,Data Science,2886,4.0,54,19001,631,1821066
Ethical Hacking,Cyber Security,5792,3.8,74,5435,321,1859232
SEO,Digital Marketing,7761,3.8,28,10583,277,2149797
Advanced SQL,Database,1574,4.1,49,15229,548,862552
Pen Testing,Cyber Security,5458,4.6,21,3216,234,1277172
SOC Analyst,Cyber Security,1597,3.8,66,12002,496,792112
HTML & CSS,Web Development,5614,4.8,63,17109,704,3952256
Data Science,Data Science,2289,4.4,35,9289,434,993426
Cyber Security,Cyber Security,4403,4.1,45,5589,283,1246049
DevOps,Cloud,6128,4.1,64,10400,416,2549248
SQL Basics,Database,6855,5.0,61,4038,336,2303280
DevOps,Cloud,4589,4.5,23,3309,249,1142661
Data Science,Data Science,5594,4.8,61,13855,604,3378776
SEO,Digital Marketing,5826,4.9,34,9927,482,2808132
Email Marketing,Digital Marketing,5395,4.1,79,5436,355,1915225
Flask,Web Development,6116,4.6,31,13305,465,2843940
Data Analytics,Data Science,2681,4.7,65,16051,714,1914234
C++ Programming,Programming,2830,4.5,56,15751,647,1831010
Cyber Security,Cyber Security,4644,4.7,28,5569,327,1518588
MongoDB,Database,1939,3.9,34,5490,264,511896
Pen Testing,Cyber Security,6379,4.3,69,13694,511,3259669
MongoDB,Database,7918,5.0,51,10475,480,3800640
SOC Analyst,Cyber Security,5037,4.0,57,15454,516,2599092
Email Marketing,Digital Marketing,3919,4.8,65,5408,391,1532329
React,Web Development,4612,4.7,60,8055,468,2158416
Google Cloud,Cloud,4454,3.9,20,13101,401,1786054
Angular,Web Development,2337,4.0,31,17122,562,1313394
Pen Testing,Cyber Security,5697,4.3,21,5936,251,1429947
Ethical Hacking,Cyber Security,6390,4.5,40,15623,524,3348360
Django,Web Development,4676,4.7,66,10954,541,2529716
Network Security,Cyber Security,7114,4.3,28,11811,391,2781574
Django,Web Development,2695,3.9,47,12042,449,1210055
Django,Web Development,7911,3.9,36,11080,358,2832138
PostgreSQL,Database,6364,4.5,49,6505,323,2055572
HTML & CSS,Web Development,4741,4.2,59,15448,593,2811413
Social Media Marketing,Digital Marketing,5106,4.2,72,7460,383,1955598
Flask,Web Development,7195,4.0,40,8820,309,2223255
Angular,Web Development,7520,4.6,51,10943,447,3361440
Google Cloud,Cloud,7937,4.3,27,9547,340,2698580
Network Security,Cyber Security,7084,4.7,21,18126,624,4420416
Advanced SQL,Database,5091,4.8,73,5266,436,2219676
Google Ads,Digital Marketing,7013,4.4,60,12923,492,3450396
React,Web Development,7359,4.3,44,5423,269,1979571
SOC Analyst,Cyber Security,6269,4.3,52,16706,587,3679903
C++ Programming,Programming,7247,4.9,54,5784,350,2536450
Content Marketing,Digital Marketing,6887,4.6,30,4451,267,1838829
PostgreSQL,Database,7665,4.2,70,17105,575,4407375
